codigo,classificacao,natureza,centro_de_custo,historico,valor,data_competencia,data_baixa,situacao,tipo,unidade,codigo_classificacao,codigo_natureza
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 20,49461.83,2022-07-01,2022-07-08,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 21,49461.83,2022-08-01,2022-08-10,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 22,49461.83,2022-09-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 23,49461.83,2022-10-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 24,49461.83,2022-11-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 25,49461.83,2022-12-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 26,48186.68,2022-01-01,2022-01-30,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 27,48186.68,2022-02-01,2022-02-24,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 28,48186.68,2022-03-01,2022-03-21,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 29,48186.68,2022-04-01,2022-04-26,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 30,48186.68,2022-05-01,2022-05-10,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 31,48186.68,2022-06-01,2022-06-22,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 32,48186.68,2022-07-01,2022-07-22,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 33,48186.68,2022-08-01,2022-08-23,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 34,48186.68,2022-09-01,,Aberto,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 35,48186.68,2022-10-01,,Aberto,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 36,48186.68,2022-11-01,,Aberto,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 37,48186.68,2022-12-01,,Aberto,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 38,64334.2,2022-01-01,2022-01-17,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 39,64324.16,2022-02-01,2022-02-15,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 40,64324.01,2022-03-01,2022-03-17,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 41,64334.2,2022-04-01,2022-04-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 42,64324.01,2022-05-01,2022-05-13,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 43,64334.05,2022-06-01,2022-06-15,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 44,64324.01,2022-07-01,2022-07-14,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 45,64324.01,2022-08-01,2022-08-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 46,64324.01,2022-09-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 47,64324.01,2022-10-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 48,64324.01,2022-11-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 49,64324.01,2022-12-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 50,64324.01,2022-01-01,2022-01-17,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 51,64324.01,2022-02-01,2022-02-15,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 52,64334.2,2022-03-01,2022-03-19,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 53,64324.01,2022-04-01,2022-04-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 54,64334.2,2022-05-01,2022-05-13,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 55,64324.01,2022-06-01,2022-06-15,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 56,64334.2,2022-07-01,2022-07-14,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 57,64324.01,2022-08-01,2022-08-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 58,64324.01,2022-09-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 59,64324.01,2022-10-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 60,64324.01,2022-11-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 61,64324.01,2022-12-01,,Aberto,Pagar,SUDESTE,08,8.2
2.02.05.001, DESPESAS FIXAS, ADMINISTRATIVAS,ALUGUEL,HISTÓRICO 62,322695.0,2022-01-01,2022-01-03,Baixado,Pagar,SUDESTE,06,6.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 63,46992.28,2022-01-01,2022-01-24,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 64,46992.28,2022-02-01,2022-02-22,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 65,46992.28,2022-03-01,2022-03-18,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 66,46992.28,2022-04-01,2022-04-22,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 67,46992.28,2022-05-01,2022-05-12,Baixado,Pagar,NORDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 68,46992.28,2022-06-01,2022-06-22,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 69,46992.28,2022-07-01,2022-07-19,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 70,46992.28,2022-08-01,2022-08-19,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 71,46992.28,2022-09-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 72,46992.28,2022-10-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 73,46992.28,2022-11-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 74,46992.28,2022-12-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 75,46992.28,2022-01-01,2022-01-24,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 76,46992.28,2022-02-01,2022-02-22,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 77,46992.28,2022-03-01,2022-03-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 78,46992.28,2022-04-01,2022-04-22,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 79,46992.28,2022-05-01,2022-05-12,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 80,46992.28,2022-06-01,2022-06-22,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 81,46992.28,2022-07-01,2022-07-19,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 82,46992.28,2022-08-01,2022-08-19,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 83,46992.28,2022-09-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 84,46992.28,2022-10-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 85,46992.28,2022-11-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 86,46992.28,2022-12-01,,Aberto,Pagar,SUDESTE,08,8.2
1.01.02.001, RECEITAS OPERACIONAIS, LOCAÇÃO,RECEITA BOX,HISTÓRICO 87,5014.68,2022-01-01,2022-01-13,Baixado,Receber,SUDESTE,01,1.2
1.01.02.001, RECEITAS OPERACIONAIS, LOCAÇÃO,RECEITA BOX,HISTÓRICO 88,5014.68,2022-02-01,2022-02-08,Baixado,Receber,SUDESTE,01,1.2
1.01.02.001, RECEITAS OPERACIONAIS, LOCAÇÃO,RECEITA BOX,HISTÓRICO 89,5089.83,2022-03-01,2022-03-10,Baixado,Receber,SUDESTE,01,1.2
1.01.02.001, RECEITAS OPERACIONAIS, LOCAÇÃO,RECEITA BOX,HISTÓRICO 90,5014.68,2022-04-01,2022-04-08,Baixado,Receber,SUDESTE,01,1.2
1.01.02.001, RECEITAS OPERACIONAIS, LOCAÇÃO,RECEITA BOX,HISTÓRICO 91,5014.68,2022-05-01,2022-05-09,Baixado,Receber,SUDESTE,01,1.2
1.01.02.001, RECEITAS OPERACIONAIS, LOCAÇÃO,RECEITA BOX,HISTÓRICO 92,5014.68,2022-06-01,2022-06-07,Baixado,Receber,SUDESTE,01,1.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 93,20781.56,2022-01-01,2022-02-17,Baixado,Pagar,ADM. CENTRAL,06,6.2
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 94,1434200.0,2022-01-01,2022-01-20,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 95,1434200.0,2022-02-01,2022-02-21,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 96,1434200.0,2022-03-01,2022-03-21,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 97,1434200.0,2022-04-01,2022-04-19,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 98,1434200.0,2022-05-01,2022-05-18,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 99,1434200.0,2022-06-01,2022-06-20,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 100,1434200.0,2022-07-01,2022-07-19,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 101,1434200.0,2022-08-01,2022-08-22,Baixado,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 102,1434200.0,2022-09-01,,Aberto,Pagar,SUDESTE,08,8.4
2.03.03.011, INVESTIMENTOS, M&A - COMPRA DE OPERAÇÕES,COMPRA DE OPERAÇÕES,HISTÓRICO 103,1434200.0,2022-10-01,,Aberto,Pagar,SUDESTE,08,8.4
2.02.05.008, DESPESAS FIXAS, ADMINISTRATIVAS,MANUTENÇÃO DE INFRA-ESTRUTURA,HISTÓRICO 104,21244.09,2022-01-01,2022-02-01,Baixado,Pagar,NORDESTE,06,6.2
2.02.05.001, DESPESAS FIXAS, ADMINISTRATIVAS,ALUGUEL,HISTÓRICO 105,1290824.03,2022-01-01,2022-01-10,Baixado,Pagar,SUDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 106,37124.7,2022-01-01,2022-01-18,Baixado,Pagar,NORDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 107,37124.7,2022-02-01,2022-02-17,Baixado,Pagar,NORDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 108,37124.7,2022-03-01,2022-03-18,Baixado,Pagar,NORDESTE,06,6.2
2.03.02.007, INVESTIMENTOS, DESENVOLVIMENTO EMPRESARIAL,CONSULTORIA LEAN,HISTÓRICO 109,35855.0,2022-01-01,2022-01-26,Baixado,Pagar,ADM. CENTRAL,08,8.3
2.03.02.007, INVESTIMENTOS, DESENVOLVIMENTO EMPRESARIAL,CONSULTORIA LEAN,HISTÓRICO 110,35855.0,2022-02-01,2022-03-04,Baixado,Pagar,ADM. CENTRAL,08,8.3
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 111,77415.82,2022-02-01,2022-02-07,Baixado,Pagar,SUDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 112,77415.82,2022-03-01,2022-03-08,Baixado,Pagar,SUDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 113,77462.43,2022-04-01,2022-04-11,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 114,13624.9,2022-01-01,2022-02-07,Baixado,Pagar,SUDESTE,06,6.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 115,2456.78,2022-01-01,2022-02-24,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 116,2456.78,2022-02-01,2022-03-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 117,2456.78,2022-03-01,2022-04-22,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 118,2456.93,2022-01-01,2022-02-24,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 119,2456.93,2022-02-01,2022-03-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 120,2456.93,2022-03-01,2022-04-22,Baixado,Pagar,SUDESTE,08,8.2
2.02.05.001, DESPESAS FIXAS, ADMINISTRATIVAS,ALUGUEL,HISTÓRICO 121,930222.12,2022-01-01,2022-02-14,Baixado,Pagar,NORDESTE,06,6.2
2.02.05.001, DESPESAS FIXAS, ADMINISTRATIVAS,ALUGUEL,HISTÓRICO 122,930222.12,2022-02-01,2022-03-09,Baixado,Pagar,NORDESTE,06,6.2
2.03.02.008, INVESTIMENTOS, DESENVOLVIMENTO EMPRESARIAL,CONSULTORIA QUALIDADE,HISTÓRICO 123,8605.2,2022-11-01,2022-05-02,Baixado,Pagar,ADM. CENTRAL,08,8.3
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 124,5736.66,2022-02-01,2022-02-17,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 125,5736.66,2022-03-01,2022-03-18,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 126,5736.66,2022-04-01,2022-04-19,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 127,5736.66,2022-05-01,2022-05-12,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 128,5736.66,2022-06-01,2022-06-15,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 129,5736.66,2022-07-01,2022-07-19,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 130,5736.66,2022-08-01,2022-08-19,Baixado,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 131,5736.66,2022-09-01,,Aberto,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 132,5736.66,2022-10-01,,Aberto,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 133,5736.66,2022-11-01,,Aberto,Pagar,SUDESTE,06,6.2
2.02.06.003, DESPESAS FIXAS, ADMINISTRATIVAS,INTERNET,HISTÓRICO 134,5736.66,2022-12-01,,Aberto,Pagar,SUDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 135,46692.82,2022-01-01,2021-12-14,Baixado,Pagar,NORDESTE,06,6.2
2.02.01.002, DESPESAS FIXAS, PESSOAL,VALE TRANSPORTE (EMPRESA),HISTÓRICO 136,2409.46,2022-01-01,2021-12-20,Baixado,Pagar,NORDESTE,06,6.1
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 137,46692.82,2022-02-01,,Aberto,Pagar,NORDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 138,56732.22,2022-03-01,2022-03-09,Baixado,Pagar,NORDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 139,56732.22,2022-04-01,2022-04-11,Baixado,Pagar,NORDESTE,06,6.2
2.02.05.003, DESPESAS FIXAS, ADMINISTRATIVAS,SEGURO IMÓVEL,HISTÓRICO 140,56766.35,2022-05-01,2022-05-09,Baixado,Pagar,NORDESTE,06,6.2
1.01.02.001, RECEITAS OPERACIONAIS, LOCAÇÃO,RECEITA BOX,HISTÓRICO 141,5014.68,2022-07-01,2022-07-08,Baixado,Receber,SUDESTE,01,1.2
